company,venue,zone,booth_no,brand,products,registered
OPTOWAY TECHNOLOGY INCORPORATION,TaiNEX 1,Advanced Communication & Networking,K1327a,OPTOWAY TECHNOLOGY INCORPORATION,,
ORing Industrial Networking Corp.,TaiNEX 1,Advanced Communication & Networking,K0516,ORing,Network Switch,
"ORISOL Co., Ltd.",TWTC Hall 1,Robotics,A0618,,,2026-03
"OSENSE Technology Co., Ltd.",TaiNEX 2,InnoVEX,S0311a,"OSENSE Technology Co., Ltd.",,
"oToBrite Electronics, Inc.",TWTC Hall 1,Robotics,A1225a,oToBrite,"Robot,Automatic Guided Vehicle (AGV) System,Image Recognition Service / Device,ADAS (Advanced Driver Assistance System)",
"OUTSTANDING ENTERPRISE CO., LTD.",TaiNEX 2,Consumer Electronic Accessories,Q0110,OUTSTANDING,TV Mount,2026-03
Overview.ai,TaiNEX 2,InnoVEX,S0304,,,2026-03
OWC ASIA INC,TaiNEX 2,Storage & Management Solutions,R1002,"OWC,AKiTiO","Disk Array / RAID,Solid State Drive (SSD),Disk Enclosure,Memory Card,Networking Storage,Other Drives, Storage & Blank Media,USB Adapter, Cable & Hub",2026-03
"P-DUKE Technology Co., Ltd.",TaiNEX 2,Industrial IoT & Embedded Systems,P1326a,,Embedded Products,
"PAC Electronics Co.,Ltd.",TWTC Hall 1,Robotics,A1119a,"Telenor,Quectel,Eagle wireless","AI VAS(Value add service),AI Smart module,5G/LTE/Wi-Fi module,Telecommunication Services,Super Capacitor,Edge AI",
PackAge plus Co. |Ltd.,TaiNEX 2,InnoVEX,S1014,,,2026-03
PaleBlueDot AI,TaiNEX 1,AI Computing & Tech,J1330,PaleBlueDot AI,"Cloud Computing & IT Services,System Integration",2026-03
"Palm Max Technology Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0332,KBpalm,Mouse,2026-03
"Parex Electronics & Computer Co., Ltd",TaiNEX 2,Consumer Electronic Accessories,P0130,,Other Computer Peripherals,2026-03
"Parker Hannifin Taiwan Co., Ltd.",TaiNEX 1,International,N1219a,Parker Hannifin,AI Air Cooling / Liquid Cooling System,
"Patriot Memory, Inc.",TaiNEX 2,Storage & Management Solutions,R0106,"PATRIOT,VIPER GAMING,ACPI",DRAM,2026-03
"PCG Trading, LLC dba Converge",TaiNEX 1,Gaming,L0025,Converge,"Electrical Connectors,Other Computer Components & Parts,DRAM",
PEAKHILLS GROUP CORPORATION,TaiNEX 1,System Integration Solution,M1111a,,"IC Design, Packaging & Foundry",2026-03
PEGATRON Corporation,TaiNEX 1,System Integration Solution,L0104,"PEGAVERSE,PEGATRON SVR,PEGAGRON 5G",Server,2026-03
PEGATRON Corporation,TaiNEX 1,Smart Mobility and Drone Tech,N0814,,Smart Cockpit,2026-03
PennEngineering,TaiNEX 1,International,N1129a,PEM®,Other Computer Components & Parts,
Penpeer,TaiNEX 2,InnoVEX,S0923,,,2026-03
"Perfect Display Technology Co., Ltd",TaiNEX 2,Consumer Electronic Accessories,Q0508,,"All-In-One & Desktop Computer,LCD Monitor,Digital Signage ,Gaming Monitor",2026-03
PETERIC TECHNOLOGY INC.,TaiNEX 2,Intelligent Business Solutions,P0602b,,"LCD Display Module,Touch Screen Monitor & Panel",2026-03
PetSci Co. | Ltd.,TaiNEX 2,InnoVEX,S1213,,,2026-03
Phison Electronics Corp,TaiNEX 1,System Integration Solution,M0411a,,,2026-03
Phison Electronics Corporation,TaiNEX 2,InnoVEX,S0323a,,,2026-03
Phistek Inc.,TaiNEX 2,Intelligent Business Solutions,P0810,Phistek,"Embedded Products,Kiosk,LCD Monitor",2026-03
"PHOENIX CONTACT CO., LTD.",TWTC Hall 1,TechXperience,A0408,,"Uninterruptible Power Supply (UPS),Electrical Connectors",
PiLink Co. | Ltd.,TaiNEX 2,InnoVEX,S1013,,,2026-03
Pilotfish Inc.,TaiNEX 1,System Integration Solution,N1213a,,Mobile App,2026-03
"PINGOOD ENTERPRISE CO., LTD.",TaiNEX 1,Components & Advanced Power Tech,I0501a,PINGOOD,Other Computer Components & Parts,2026-03
PINNACLE TECHNOLOGY CORP.,TaiNEX 2,Intelligent Business Solutions,P0206,"ACLAS,PINNACLE","POS System,Bar Code Scanner,Bar Code & QR Code System",2026-03
"plain-me Co., Ltd.",TaiNEX 1,International,L2024,,Others,2026-03
PLANET Technology Corporation,TaiNEX 1,Advanced Communication & Networking,K0315a,PLANET,"Router,Gateway,Fiber Media Converter,Wireless AP / Bridge,Network Switch,LPWAN Module (LTE / NBIoT / LoRa / Sigfox / Weightless)",
PLAUD PTE. LTD.,TaiNEX 2,InnoVEX,S0010,,Smart Wearable Device,
Plug and Play Taiwan,TaiNEX 2,InnoVEX,S1014,,,2026-03
"Plug Master Industrial Co., Ltd.",TaiNEX 1,Advanced Communication & Networking,K0132,PMC,,2026-03
Plustek Inc.,TaiNEX 2,Consumer Electronic Accessories,Q0116,"Plustek,PlustekSecurity",Scanner,
PNY Technologies Asia Pacific Limited,TaiNEX 1,Gaming,L1317,"PNY,HP","Solid State Drive (SSD),USB Flash Drive,Memory Card,Graphics Card,DRAM",2026-03
Pocketbook International SA,TWTC Hall 1,ePaper Pavilion,D0331a,"InkPoster,Ionnyk","E-paper Display,E-book Reader",
Poindus Systems Corp.,TaiNEX 2,Intelligent Business Solutions,P0906,"VariPOS S series,VariPPC,SPPC-215,VariKIOSK,VariPOS",POS System,
"Point Mobile Co., Ltd.",TaiNEX 2,Intelligent Business Solutions,P0604a,,"Industrial Mobile Computer ,Radio Frequency Identification (RFID) ,5G/5G-A/6G Related Products ,Other Mobile Devices",
POLYN Technology,TaiNEX 2,InnoVEX,S0905,,,2026-03
"Portwell, Inc.",TaiNEX 2,Industrial IoT & Embedded Systems,P1313,Portwell,Industrial Computer,
POSBANK,TaiNEX 2,Intelligent Business Solutions,P0704,POSBANK,"POS System,Kiosk,Mobile POS ,POS Printer",2026-03
"Posiflex Technology, Inc.",TaiNEX 2,Intelligent Business Solutions,P0407a,"POSIFLEX,KIOSK,Portwell",Kiosk,
"POWER COMMUNICATION TECH. CO., LTD.",TaiNEX 2,Consumer Electronic Accessories,Q1016,PCT,"Handheld Cable,Wireless Audio Receiver, Adapter & Transmitter,Other Computer Peripherals,Computer Cables & Connectors,KVM Cable & Switch",2026-03
Power7 Technology CORP.,TaiNEX 2,Consumer Electronic Accessories,Q0616a,,"Card Reader,Disk Enclosure",2026-03
PowerArena Limited,TaiNEX 2,InnoVEX,S0311a,,,2026-03
Powerchip Semiconductor Manufacturing Corp.,TaiNEX 1,AI Computing & Tech,J0517a,PSMC,,2026-03
"POWERCOM Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0618a,"PCM,POWERCOM,科風",Uninterruptible Power Supply (UPS),2026-03
"Powerex Electronics Co.,Ltd.",TaiNEX 1,Components & Advanced Power Tech,I1324,"POWEREX,Einarex","All-In-One & Desktop Computer,Computer Case,Computer Power Supply,PC Cooling & Fan",
Powertron Electronics Corp.,TaiNEX 1,Components & Advanced Power Tech,I0027,"POWERTRON,ARTTRON",AC / DC Adapter,2026-03
PQBAI LTD.,TaiNEX 2,InnoVEX,S0209a,,,2026-03
Precision Squared Technology Corp.,TaiNEX 2,Consumer Electronic Accessories,P0133,"PSK-3910,PSK-3410","PC Keyboard,Mouse",
Premio (Taiwan) Inc.,TaiNEX 2,Industrial IoT & Embedded Systems,P0413,,Industrial Computer,
Presidential Hackathon International Track,TaiNEX 2,InnoVEX,S0109,,,
PRICER AKTIEBOLAG TAIWAN BRANCH,TWTC Hall 1,ePaper Pavilion,D0327a,,E-paper Display,
Primmcon Industries Inc.,TaiNEX 1,Advanced Communication & Networking,K0003,,Network Switch,
Prince Technology Co. Ltd.,TaiNEX 2,Consumer Electronic Accessories,Q1433a,,Disk Enclosure,2026-03
Pro Gamers Group,TaiNEX 1,Components & Advanced Power Tech,I0617,"HAVN,APNX,Aerocool,Ducky,ENDGAME GEAR",Computer Case,
"Prof. Ai-He Liao's Biomedical Imaging and Informatics Laboratory , NTUST",,,,"Prof. Ai-He Liao's Biomedical Imaging and Informatics Laboratory , NTUST",,2026-03
"Project Autoparts Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q1301,ONYX,Handheld Holder,2026-03
"PROKIT'S INDUSTRIES CO., LTD.",TaiNEX 1,Advanced Communication & Networking,K0503,"Pro'sKit,test instruments,fiber optics","Laptop Bag,Solar Energy Products,PC Tooling Kit,Optical Fiber",2026-03
PROKS SIA,TaiNEX 1,Components & Advanced Power Tech,I0017,"Samsung, Crucial, Kingston","Computer Power Supply,Other Computer Components & Parts,DRAM",
"PROMISE Technology, Inc.",TaiNEX 2,Storage & Management Solutions,R0708,"PROMISE,Pegasus,Vess",Disk Array / RAID,2026-03
"Protech Systems Co., Ltd.",TaiNEX 2,Industrial IoT & Embedded Systems,P1014,Prox,"Industrial Computer,Embedded Products,Industrial Motherboard",2026-03
PUFsecurity Corporation,TWTC Hall 1,Robotics,A0903,,Other,2026-03
"PUN TEH INDUSTRIAL CO., LTD.",TWTC Hall 1,TechXperience,A0239a,CT JOINT,,
Puralink,TaiNEX 2,InnoVEX,S1217,,,2026-03
"Purplelec Inc.Co.,Ltd",TaiNEX 2,Consumer Electronic Accessories,Q0905,purplelec,"Other Mobile Phone & Tablet PC Accessories,Disk Enclosure,USB Adapter, Cable & Hub,OTG Adapter / Hub / Flash Drive",2026-03
PursimEV,TaiNEX 2,InnoVEX,S0712a,,,2026-03
Pythia Biotech Ltd.,TaiNEX 2,InnoVEX,S0323a,,,2026-03
Qadir Corporation Ltd.,TWTC Hall 1,Robotics,A1011a,,Robot,2026-03
Qinvicta Inc.,TaiNEX 2,InnoVEX,S0304,,Cyber Security,2026-03
"QNAP Systems, Inc.",TaiNEX 1,AI Computing & Tech,J1209a,QNAP,Data Capturing & Identification,2026-03
"QSAN Technology, Inc.",TaiNEX 1,System Integration Solution,N1301,QSAN,,2026-03
Quadrep Electronics (Taiwan ) Ltd.,TaiNEX 1,AI Computing & Tech,J0310,,Image Recognition Service / Device,2026-03
Quanta Cloud Technology,TaiNEX 1,Semiconductors & Hospitality Suites,G0042,QCT,Server,2026-03
Quantum Brilliance,TaiNEX 2,InnoVEX,S1217,,,2026-03
Quantum NIL Corporation,TaiNEX 2,InnoVEX,S0311a,,,2026-03
QuanTuring Inc.,TaiNEX 2,InnoVEX,S0304,,Big Data & Analytics / AI,2026-03
QuettaFlow Technologies Pte Ltd,TaiNEX 1,AI Computing & Tech,J0232,VasEdge,AI Air Cooling / Liquid Cooling System,2026-03
Quick Takeout Technology Ltd.,TaiNEX 2,InnoVEX,S1320,,,2026-03
QULIP Technology Inc.,TWTC Hall 1,TechXperience,D0531a,,,2026-03
Quobly,TaiNEX 2,InnoVEX,S1216,Quobly,,
R2C2,TaiNEX 2,InnoVEX,S0304,,,2026-03
Raidmax Tech Inc.,TaiNEX 1,Components & Advanced Power Tech,I1129,Raidmax,"Computer Case,Computer Power Supply,Other Computer Components & Parts",
"RAIJINTEK Co., Ltd",TWTC Hall 1,TechXperience,A0410,RAIJINTEK,Computer Power Supply,2026-03
RAMXEED Limited,TaiNEX 2,Storage & Management Solutions,R0006,RAMXEED,"Other Drives, Storage & Blank Media",2026-03
Ranictek Inc.,TaiNEX 2,InnoVEX,S1014,,IC Design,2026-03
Rayvatek INC.,TaiNEX 2,AI Computing & System Integration Solution,R0425,Rayvatek,"Unmanned Aerial Vehicles (UAV),UAV Gimbals,Ground Control Stations (GCS), Hydrogen Storage Cylinders,Type IV Composite Hydrogen Tanks,Composite Materials Manufacturing,Filament Winding Systems, Metal 3D Printing Manufacturing Services",
"RE-ENERGY CO.,LTD.",TWTC Hall 1,TechXperience,A0209,"FDK,LUMEX,MURATA",Lithium & Li-ion Battery,2026-03
Real World Inc.,TaiNEX 2,InnoVEX,S0712a,,,2026-03
Reallyuseful Electronics Inc.,TaiNEX 2,Consumer Electronic Accessories,Q1216,,"USB Adapter, Cable & Hub",2026-03
Realtek Semiconductor Corp.,TWTC Hall 1,ePaper Pavilion,D0131,,"IC Design, Packaging & Foundry",2026-03
Realtek Semiconductor Corp.,TaiNEX 1,Semiconductors & Hospitality Suites,G0041,,"IC Design, Packaging & Foundry",2026-03
Realtek Semiconductor Corp.,TaiNEX 1,Semiconductors & Hospitality Suites,G0111,Realtek,"IC Design, Packaging & Foundry",2026-03
Reas.ai Co. |Ltd.,TaiNEX 2,InnoVEX,S0712a,,,2026-03
RECOM Asia Pte Ltd,TaiNEX 1,Components & Advanced Power Tech,I0006,,Power Converter,
"Red Bull Taiwan Co., Ltd.",TWTC Hall 1,Media,A0201,,Others,2026-03
"Red Bull Taiwan Co., Ltd.",TaiNEX 2,Semiconductors & Hospitality Suites,X0015,,Others,2026-03
"Red Bull Taiwan Co., Ltd.",TaiNEX 1,Components & Advanced Power Tech,I2107,,Others,2026-03
"Red Bull Taiwan Co., Ltd.",TaiNEX 1,System Integration Solution,M1419c,,Others,2026-03
Red Pill Lab,TaiNEX 2,InnoVEX,S0712a,,,2026-03
"RED TURKEYWELL CO., LTD",TaiNEX 2,Storage & Management Solutions,R0011,KINGBOX,DRAM,2026-03
REHATCH Inc.,TaiNEX 2,InnoVEX,S0118,,,2026-03
ResorTech EXPO in Okinawa Executive Committee,TaiNEX 2,InnoVEX,S0920,ResorTech EXPO in Okinawa Executive Committee,,2026-03
Retailing Data Enterprise Corp.,TaiNEX 2,InnoVEX,S1014,,,2026-03
"RHEAVISION ,Co.,Ltd",TaiNEX 2,InnoVEX,S0203a,,,2026-03
"Rich Source Precision IND., CO., LTD.",TaiNEX 2,Consumer Electronic Accessories,Q0829,PERSONA,Touch Screen Monitor & Panel,
"RICHIN TECH CO., LTD.",TaiNEX 1,AI Computing & Tech,J0332,,"Industrial Software,Deep Learning Service / Device,Quality Inspection & Testing",
"Right Group Central Co, Ltd",TaiNEX 2,Consumer Electronic Accessories,Q0630,monifilm,Other Computer Peripherals,2026-03
"RIOTEC CO., LTD.",TaiNEX 2,Intelligent Business Solutions,P0202a,RIOTEC,Bar Code Scanner,
RISC-V Taiwan Alliance,TaiNEX 1,System Integration Solution,M1111a,,"IC Design, Packaging & Foundry",2026-03
RISE Project,TaiNEX 1,System Integration Solution,M1111a,,"IC Design, Packaging & Foundry",2026-03
"RISUNIC TECHNOLOGY (SHENZHEN) CO.,LTD",TWTC Hall 1,TechXperience,D0535a,RISUNIC,Switching Power Supply,2026-03
Rittal Ltd.,TaiNEX 2,AI Computing & System Integration Solution,R0123,,,2026-03
"Roboco CO., LTD.",TaiNEX 1,AI Computing & Tech,J0534,ROBOCO,,
RoboTape by Innovative Automation,TaiNEX 1,International,N0526,"RoboTape,RoboClip","Robot,Industrial Automatic & Smart Machinery Turnkey Equipment,Other Industrial Automatic Equipment & Smart Machinery",2026-03
Robotics & Edge AI Pavilion (Powered by Intel),TWTC Hall 1,Robotics,A0618,,"Robot,Robotic Arm,Automated & Industrial Controller Module,Industrial Automatic & Smart Machinery Turnkey Equipment",2026-03
"Rock Smart Technology CO., LTD.",TWTC Hall 1,TechXperience,A0213,,Human Machine Interface (HMI),2026-03
"RockCore Technology Co., Ltd.",TaiNEX 2,InnoVEX,S0724,,,2026-03
RockTek Co. | Ltd,TaiNEX 2,InnoVEX,S0504,,,
"Rongta Trade Co., Ltd.",TaiNEX 2,Intelligent Business Solutions,P1203,"RONGTA,容大","Data Capturing & Identification,POS System,Kiosk,Bar Code Inventory Machine,Printer,Mobile POS ,Barcode Printer ,POS Printer",2026-03
Ruilaifu Technology,TaiNEX 2,InnoVEX,S0311a,Ruilaifu Technology,,2026-03
RUNWITHIT Synthetics,TaiNEX 2,InnoVEX,S0506,,other,2026-03
"Sage Power Industrial Co.,Ltd",TaiNEX 2,Consumer Electronic Accessories,Q0734c,,"AC / DC Adapter,USB Adapter, Cable & Hub",2026-03
"Saint-Gobain Advanced Materials (Taiwan) Co., Ltd.",TWTC Hall 1,TechXperience,A0339a,,,2026-03
"SAMLIFE TECHNOLOGY CO.,LTD",TWTC Hall 1,TechXperience,A1317a,,Uninterruptible Power Supply (UPS),2026-03
"SAMSUNG ELECTRONICS TAIWAN CO., LTD.",TaiNEX 1,System Integration Solution,L0405,,,2026-03
"SAN KONG Enterprise Co., Ltd",TaiNEX 1,Components & Advanced Power Tech,I0026,,"Embedded Products,Data Capturing & Identification,Computer Case,PC Cooling & Fan,Other Computer Components & Parts",2026-03
SAN YUAN ADVANCE TECHNOLOGY INC.,TaiNEX 1,Smart Mobility and Drone Tech,N0020,,Electric Vehicle,2026-03
SANway Optoelectronics technology Corp,TaiNEX 1,Advanced Communication & Networking,K0830,SANOC,Optical Fiber,2026-03
Sarcomere Dynamics Inc.,TaiNEX 2,InnoVEX,S0506,,other,2026-03
"Saviah Technologies, Inc.",TaiNEX 2,InnoVEX,S0524,,"5G / 6G & LEO (Low Earth Orbit) Communication,Low Earth Orbit (LEO) Satellites",2026-03
Schneider Electric,TaiNEX 1,System Integration Solution,N1001,,"Data Center (DC) / Cloud Service Provider (CSP),AI Air Cooling / Liquid Cooling System ,AI Switching Power Supply ,System Integration",2026-03
SCHUNK Intec Taiwan Ltd,TWTC Hall 1,Robotics,D0503a,SCHUNK,Industrial Automatic & Smart Machinery Turnkey Equipment,
"ScrewTech Industry Co., Ltd.",TWTC Hall 1,TechXperience,D0635a,,Other Computer Components & Parts,2026-03
SCS Inc,TaiNEX 2,InnoVEX,S0506,,,2026-03
"Scythe Technology Co., Ltd.",TaiNEX 2,Consumer Electronic Accessories,Q0202,SCYTHE,"Thermal Adhesive & Grease,PC Cooling & Fan",
SD Association,TaiNEX 2,Storage & Management Solutions,R0902,,Memory Card,
"SDCX Co., Ltd.",TaiNEX 2,InnoVEX,S1004,,,2026-03
"Sea Sonic Electronics Co., Ltd.",TaiNEX 2,Storage & Management Solutions,R1014,Seasonic,"Switching Power Supply,Server,Computer Case,PC Cooling & Fan",2026-03
SEALSQ France,TaiNEX 2,InnoVEX,S1216,SEALSQ,Cybersecurity,
SecuX Technology Inc.,TaiNEX 2,InnoVEX,S0603a,,,2026-03
Seek & Find Co. | Ltd.,TaiNEX 2,InnoVEX,S0006,,,2026-03
SEIGYO CORPORATION,TaiNEX 2,Consumer Electronic Accessories,Q0215a,"SEIGYO,MillionTec","Headset,PC Cooling & Fan,Mouse",2026-03
Semidynamics Technology Services SL,TaiNEX 1,System Integration Solution,M1111a,Semidynamics,"IC Design, Packaging & Foundry",2026-03
SEMIQA,TaiNEX 2,InnoVEX,S0304,,,2026-03
SEN TIAN BIOTECH ENTERPRISE CO.,TaiNEX 2,InnoVEX,S0705,,,2026-03
Senao Networks Inc.,TaiNEX 2,AI Computing & System Integration Solution,R0219,Senao,,
Sencity PTY LTD,TaiNEX 2,InnoVEX,S1217,,,2026-03
Sensor Controls Co. | Ltd.,TaiNEX 2,InnoVEX,S1013,,,2026-03
Sera Network Inc.,TaiNEX 1,Advanced Communication & Networking,K1429,,"Network Switch,Small Cell",
"SEWHA CO., LTD",TaiNEX 1,International,N0028,SEHWA,"Handheld Screen Protector,Kiosk,LCD Monitor,Touch Screen Monitor & Panel",2026-03
SGS Tawian Ltd.,TaiNEX 2,Consumer Electronic Accessories,Q0113,SGS,"Interface Test Equipment,Robot,Robotic Arm,Lithium & Li-ion Battery,Uninterruptible Power Supply (UPS),Quality Inspection & Testing",
"Shanghai Sixunited Intelligent Technology Co., Ltd",TaiNEX 1,System Integration Solution,N1305,SIXUNITED,"Tablet PC,Mini PC Barebone,All-In-One & Desktop Computer,Laptop Computer,5G/5G-A/6G Related Products",2026-03
"Shanghai StarFive Semiconductor Co., Ltd.",TaiNEX 1,System Integration Solution,M1111a,StarFive,Touch Panel IC,2026-03
"SHANGHAI VENSIN COMPUTER TECHNOLOGY CO., LTD",TaiNEX 2,Industrial IoT & Embedded Systems,P1319,,"Industrial Computer,Embedded Products,Human Machine Interface (HMI)",
Shape Technology Corporation,TWTC Hall 1,TechXperience,A1103a,shapeLed,Other Mobile Phone & Tablet PC Accessories,2026-03
Share-Me,TaiNEX 2,InnoVEX,S0118,,,2026-03
"SHARETECH INFORMATION CO., LTD.",TaiNEX 1,Advanced Communication & Networking,K0001,ShareTech,"Gateway,Other Networking,IIoT Solution",2026-03
"Sharkoon Taiwan Co., Ltd.",TaiNEX 1,Gaming,M1307,SHARKOON,"Computer Case,Computer Power Supply,PC Cooling & Fan",
SHARP (TAIWAN) ELECTRONICS CORPORATION,TWTC Hall 1,ePaper Pavilion,D0307a,SHARP,E-paper Display,2026-03
"Shee Line Co., Ltd.",TaiNEX 1,Components & Advanced Power Tech,I0019,喜來電,Computer Cables & Connectors,2026-03
Sheng Yih,TaiNEX 2,Consumer Electronic Accessories,Q0411a,,"USB Adapter, Cable & Hub",2026-03
"Shenyang Jesen Pos Co., Ltd.",TaiNEX 2,Intelligent Business Solutions,P0808,Jesen,"POS System,Point of Sales PC",
"Shenzhen ALSEYE Technology Co., Ltd",TaiNEX 2,Consumer Electronic Accessories,Q0301,ALSEYE,"Computer Case,PC Cooling & Fan,Liquid Cooling System",2026-03
"Shenzhen Anjiexin Technology Co., Ltd.",TaiNEX 2,Industrial IoT & Embedded Systems,P1419,,"Embedded Products,PC Motherboard,Access Control System",2026-03
"Shenzhen Beikong Industrial Control Co., Ltd",TaiNEX 2,Industrial IoT & Embedded Systems,P1423,倍控,"Mini PC Barebone,All-In-One & Desktop Computer,Industrial Computer",2026-03
"SHENZHEN BUYEASY CO., LTD.",TaiNEX 1,Components & Advanced Power Tech,I0602,,"Heat Sink & Pipe,PC Cooling & Fan,AI Air Cooling / Liquid Cooling System ,Liquid Cooling System ,Heat Dissipation Material ,AI PC Cooling & Fan",2026-03
Shenzhen C&D Electronics Co. | Ltd. Jiaxing Branch,TaiNEX 2,InnoVEX,S0009,,,
Shenzhen Changkun Technology Co Ltd,TaiNEX 2,Storage & Management Solutions,R0010,QUANJI,"Solid State Drive (SSD),Disk Enclosure,USB Flash Drive,Memory Card,Other Drives, Storage & Blank Media,DRAM",2026-03
"Shenzhen China Star Optoelectronics Semiconductor Display Technology Co.,Ltd",TWTC Hall 1,ePaper Pavilion,D0435a,,E-paper Display,2026-03
"SHENZHEN CSE TECHNOLOGY CO.,LTD",TaiNEX 1,Advanced Communication & Networking,K1423,,Network Adapter / Network Interface Card (NIC),2026-03
"Shenzhen CSIP Science & Technology Co., Ltd",TaiNEX 1,International,N0622,,"Lithium & Li-ion Battery,Motorcycle Battery ,Gaming Mouse",
"Shenzhen Cudy Technology Co,. Ltd.",TaiNEX 1,Advanced Communication & Networking,K1101a,Cudy,"Modems,Router,Network Hub,Fiber Media Converter,Network Switch,Network Adapter / Network Interface Card (NIC),Other Networking,5G/5G-A/6G Related Products",
"Shenzhen CYX Industrial Co.,Ltd",TaiNEX 1,System Integration Solution,L0006,,"Workstation,Server,Mini PC Barebone,Laptop Computer,Industrial Computer",2026-03
Shenzhen Depend Electronics Limited,TaiNEX 2,Storage & Management Solutions,R1309,Depend,"Microcontroller(MCU),Hard Disk Drive (HDD),Solid State Drive (SSD),Graphics Card,DRAM",
"Shenzhen DYscan Technology Co., Ltd",TaiNEX 2,Intelligent Business Solutions,P0502c,,"Bar Code Scanner,Barcode Printer ,POS Accessories",
"SHENZHEN ELECTRON TECHNOLOGY CO.,LTD",TaiNEX 2,Industrial IoT & Embedded Systems,P1026,,Kiosk,
"Shenzhen Feixuan Electronic Technology Co., Ltd.",TaiNEX 2,Storage & Management Solutions,R0001,,"Disk Array / RAID,Disk Enclosure",2026-03
Shenzhen Fluence Technology PLC.,TaiNEX 1,International,N0520,,"Computer Case,PC Cooling & Fan,Other Computer Peripherals",
"Shenzhen Geniatech Inc., Ltd",TaiNEX 2,Industrial IoT & Embedded Systems,P0120,,"E-paper Display,E-book Reader,Industrial Computer,Embedded Products,Industrial Motherboard,Single Board Computer (SBC) ,Industrial Panel PC",2026-03
"Shenzhen GIFA Industrial Control Co., Ltd.",TaiNEX 2,Industrial IoT & Embedded Systems,P0732,GIFA,"Industrial Computer,Embedded Products,Industrial Motherboard",2026-03
"Shenzhen GMCELL Technology Co.,LTD",TWTC Hall 1,TechXperience,A0308,GMCELL,Lithium & Li-ion Battery,2026-03
"Shenzhen Gooxi Digital Intelligence Technology Co., Ltd.",TaiNEX 1,AI Computing & Tech,J0525,Gooxi,"Server,PC Motherboard,AI Server",
"Shenzhen Gowin Industrial Control System Co.,Ltd",TaiNEX 2,Industrial IoT & Embedded Systems,P0832,"GOWINPC, GWINPC","Industrial Computer,Industrial Motherboard,Computer-Integrated Manufacturing (CIM),PC Motherboard",2026-03
"SHENZHEN HAILAN ELECTRONIC CO., LTD",TaiNEX 1,International,N0419a,"HAILAN, 海蘭","Mini PC Barebone,All-In-One & Desktop Computer,LCD Monitor",2026-03
"Shenzhen Hi-Net Technology Co.,Ltd",TaiNEX 1,Advanced Communication & Networking,K0431,,Network Switch,
"Shenzhen HongRui Optical Technology Co., Ltd",TaiNEX 1,Advanced Communication & Networking,J1333,HRUI,"Wireless AP / Bridge,Network Switch,CCTV System,CCTV Camera,IP Camera,Access Control System,IP / Digital Surveillance ,5G/5G-A/6G Related Products",2026-03
"Shenzhen Huikeyuan Co., Ltd",TaiNEX 1,Components & Advanced Power Tech,I0902,,"Switching Power Supply,AC / DC Adapter",
"Shenzhen Jassway Infotech Co., Ltd",TaiNEX 2,Intelligent Business Solutions,P1202c,,"POS System,Mobile POS ,POS Accessories",2026-03
"Shenzhen JuYuanHai Electronic Co.,Ltd.",TaiNEX 1,Components & Advanced Power Tech,I0020,,"Switching Power Supply,AC / DC Adapter,Socket",2026-03
"Shenzhen Keytok Technology Co., Ltd.",TaiNEX 1,Gaming,L1302,KEYTOK,Keycap,2026-03
"Shenzhen Kingbank Technology Co., Ltd",TaiNEX 2,Storage & Management Solutions,R0808,,"Hard Disk Drive (HDD),Solid State Drive (SSD),Disk Enclosure,USB Flash Drive,Other Drives, Storage & Blank Media,DRAM,Other Computer Peripherals,Gaming Accessories",2026-03
"ShenZhen KingDian Technology Co.,Limited",TaiNEX 2,Storage & Management Solutions,R1326,,"Solid State Drive (SSD),DRAM",
"Shenzhen KINGONE Information Technology Co., LTD",TaiNEX 2,InnoVEX,S1212,,,
"Shenzhen Kings IoT Co., Ltd.",TaiNEX 1,Advanced Communication & Networking,K1427,,"Router,Wireless AP / Bridge,Network Adapter / Network Interface Card (NIC),Wi-Fi / ZigBee Dongle & Module",2026-03
"Shenzhen Kstar Science and Technology Co., Ltd",TaiNEX 1,AI Computing & Tech,J0331,KSTAR,"Cloud Computing & IT Services,AI Air Cooling / Liquid Cooling System ,Data Center (DC) / Cloud Service Provider (CSP) ,Edge Computing ,AI Switching Power Supply",2026-03
"Shenzhen KTC Commercial Display Technology Co., Ltd.",TaiNEX 1,Gaming,M1308,,"Projector,LCD Monitor,Gaming Monitor",
"SHENZHEN KYSONA INTELLIGENT EQUIPMENT CO., LTD",TaiNEX 2,Consumer Electronic Accessories,P1229,Kysona,"Gaming Headphone & Headset & Microphone ,Gaming Accessories,Gaming Mouse ,Gaming Keyboard",
"Shenzhen Lingdechuang Technology Co., Ltd.",TaiNEX 2,Storage & Management Solutions,R1332,"Fanxiang, Fikwot, Ediloca","Hard Disk Drive (HDD),Solid State Drive (SSD),Networking Storage",
"Shenzhen Link Technology Co., Ltd",TaiNEX 1,System Integration Solution,M0527,,"E-paper Display,Kiosk,Touch Screen Monitor & Panel,Electronic Label",2026-03
"Shenzhen LINKOH Network Tecnology Co., Ltd",TaiNEX 1,Advanced Communication & Networking,K1425,LINKOH,"Fiber Media Converter,Network Switch,Other Networking",2026-03
